"","country_name","v2x_regime","v2xel_frefair","v2x_freexp","e_migdppc","e_cow_exports"
"1","Mexico",2,0.792,0.731,15357,380026.587
"2","Suriname",2,0.843,0.873,NA,650.101
"3","Sweden",3,0.971,0.966,42245,159645.766
"4","Switzerland",3,0.952,0.977,61320,229038.12
"5","Ghana",3,0.735,0.905,3635,8716.284
"6","South Africa",2,0.783,0.85,11993,95937.69
"7","Japan",3,0.934,0.902,35494,714612.995
"8","Burma/Myanmar",1,0.47,0.474,4992,10437.699
"9","Russia",1,0.333,0.421,23881,527266.365
"10","Albania",3,0.441,0.833,10138,2298.164
"11","Egypt",0,0.385,0.596,10803,28893.921
"12","Yemen",1,0.372,0.592,3847,9681.083
"13","Colombia",2,0.613,0.797,12293,58821.87
"14","Poland",3,0.959,0.979,23627,196946.583
"15","Brazil",2,0.942,0.935,14943,241690.262
"16","United States of America",3,0.949,0.977,50863,1578829.8
"17","Portugal",3,0.977,0.96,25862,62226.149
"18","El Salvador",2,0.566,0.828,7800,5490.582
"19","Bangladesh",1,0.559,0.463,2806,25912.958
"20","Bolivia",2,0.767,0.792,5823,12207.56
"21","Haiti",1,0.274,0.772,1638,945.398
"22","Honduras",1,0.31,0.708,4213,3927.257
"23","Mali",1,0.527,0.782,1444,463.666
"24","Pakistan",1,0.341,0.733,4676,26484.695
"25","Peru",2,0.884,0.911,10783,41918.932
"26","Senegal",2,0.693,0.949,2260,2439.923
"27","South Sudan",0,0,0.21,NA,NA
"28","Sudan",1,0.153,0.209,3432,7086.219
"29","Vietnam",1,0.456,0.313,5135,126648.629
"30","Afghanistan",1,0.242,0.566,2025,600.023
"31","Argentina",2,0.862,0.895,19876,74297.397
"32","Ethiopia",1,0.194,0.303,1361,2239.522
"33","India",2,0.784,0.854,5052,315127.168
"34","Kenya",1,0.342,0.848,2877,5567.877
"35","North Korea",0,0.182,0.027,1740,3478.411
"36","South Korea",3,0.859,0.795,33322,559625.211
"37","Kosovo",2,0.451,0.836,NA,NA
"38","Lebanon",1,0.52,0.705,14627,3699.438
"39","Nigeria",2,0.458,0.88,5372,96284.002
"40","Philippines",2,0.501,0.849,6393,53977.704
"41","Tanzania",1,0.62,0.737,2208,3842.819
"42","Taiwan",2,0.869,0.918,39528,409889.564
"43","Thailand",1,0.542,0.466,13895,224863.527
"44","Uganda",1,0.207,0.615,1841,1829.451
"45","Venezuela",1,0.416,0.459,18795,85615.63
"46","Benin",3,0.616,0.891,1962,884.056
"47","Bhutan",2,0.805,0.748,NA,NA
"48","Burkina Faso",2,0.583,0.853,1452,684.228
"49","Cambodia",1,0.285,0.358,2942,9242.865
"50","Indonesia",2,0.761,0.839,9391,182551.308
"51","Mozambique",1,0.308,0.787,1122,4318.044
"52","Nepal",1,0.462,0.826,2422,812.8
"53","Nicaragua",1,0.362,0.503,4325,2400.689
"54","Niger",2,0.621,0.902,859,383.765
"55","Zambia",2,0.591,0.741,3474,9338.365
"56","Zimbabwe",1,0.136,0.381,1801,2656.478
"57","Guinea",1,0.337,0.763,1464,2160.946
"58","Ivory Coast",2,0.571,0.731,3102,12719.291
"59","Mauritania",1,0.439,0.876,2933,2864.416
"60","Canada",3,0.901,0.963,41816,458321.205
"61","Australia",3,0.974,0.961,44042,253547.127
"62","Botswana",3,0.861,0.794,13198,5926.33
"63","Burundi",1,0.169,0.451,763,100.386
"64","Cape Verde",3,0.885,0.917,5625,NA
"65","Central African Republic",1,0.179,0.418,581,121.83
"66","Chile",3,0.974,0.976,20781,76684.312
"67","Costa Rica",3,0.957,0.977,12301,11479.796
"68","Timor-Leste",2,0.734,0.812,NA,NA
"69","Ecuador",2,0.771,0.756,10875,24959.349
"70","France",3,0.943,0.969,37926,569234.202
"71","Germany",3,0.979,0.981,44560,1365713.489
"72","Guatemala",2,0.58,0.771,6689,9979.079
"73","Iran",1,0.371,0.248,15844,84685.748
"74","Iraq",1,0.458,0.413,13213,82777.021
"75","Ireland",3,0.954,0.967,48162,108544.246
"76","Italy",3,0.929,0.957,34482,510179.878
"77","Jordan",0,0.471,0.55,11656,7909.212
"78","Latvia",3,0.902,0.966,20765,14216.145
"79","Lesotho",2,0.718,0.734,2686,927.442
"80","Liberia",2,0.593,0.869,827,757.735
"81","Malawi",2,0.493,0.826,1031,996.502
"82","Maldives",2,0.624,0.624,NA,230.257
"83","Mongolia",2,0.71,0.914,11088,3517.171
"84","Morocco",0,0.611,0.646,7450,21752.813
"85","Netherlands",3,0.969,0.942,48629,659517.238
"86","Panama",2,0.855,0.883,21044,827.735
"87","Papua New Guinea",1,0.305,0.784,NA,11071.286
"88","Qatar",0,0,0.207,148807,136852.928
"89","Sierra Leone",2,0.475,0.839,1684,1666.589
"90","Spain",3,0.969,0.965,31527,307795.349
"91","Syria",0,0,0.044,4753,13638.658
"92","Tunisia",2,0.804,0.828,10503,16335.471
"93","Turkey",2,0.861,0.487,19370,151802.484
"94","Ukraine",1,0.473,0.766,10993,63308.213
"95","United Kingdom",3,0.942,0.951,37702,495778.253
"96","Uruguay",3,0.967,0.969,18778,10514.149
"97","Algeria",1,0.32,0.656,12998,65933.566
"98","Angola",1,0.226,0.462,8612,63153.909
"99","Armenia",1,0.216,0.67,9006,1480.031
"100","Azerbaijan",1,0.091,0.237,15841,23975.417
"101","Belarus",1,0.225,0.344,19536,37132.301
"102","Cameroon",1,0.184,0.643,2592,5527.253
"103","Chad",1,0.081,0.458,1958,2830.793
"104","China",0,0,0.239,11088,2671018.75
"105","Democratic Republic of the Congo",1,0.2,0.469,751,5941.468
"106","Republic of the Congo",1,0.124,0.26,5156,9704.569
"107","Djibouti",1,0.236,0.292,2756,535.919
"108","Dominican Republic",2,0.626,0.881,12101,9651.193
"109","Eritrea",0,0,0.027,NA,NA
"110","Gabon",1,0.144,0.844,14757,9702.438
"111","The Gambia",1,0.241,0.143,1830,124.377
"112","Georgia",2,0.594,0.882,9540,2905.892
"113","Guinea-Bissau",0,0,0.64,1281,217.523
"114","Jamaica",2,0.842,0.943,7096,1348.479
"115","Kazakhstan",1,0.23,0.451,23365,62628.954
"116","Kyrgyzstan",1,0.371,0.715,4360,1130.67
"117","Laos",0,0.137,0.06,5197,3883.789
"118","Libya",2,0.685,0.555,13326,36754.606
"119","Madagascar",1,0.387,0.598,1317,1958.773
"120","Moldova",2,0.795,0.764,5256,2426.424
"121","Namibia",3,0.644,0.89,9512,2851.004
"122","Palestine/West Bank",1,0,0.647,4917,NA
"123","Rwanda",1,0.374,0.459,1555,406.751
"124","Somalia",0,0,0.459,NA,800.583
"125","Sri Lanka",1,0.573,0.451,9826,11211.176
"126","Eswatini",0,0.29,0.292,7814,2264.413
"127","Tajikistan",1,0.12,0.287,3297,935.407
"128","Togo",1,0.381,0.791,1426,1195.39
"129","Trinidad and Tobago",3,0.862,0.879,31166,19443.468
"130","Turkmenistan",1,0.091,0.047,18918,11938.75
"131","Palestine/Gaza",0,0,0.294,NA,NA
"132","Somaliland",1,0.527,0.733,NA,NA
"133","Uzbekistan",1,0.194,0.105,8641,6261.036
"134","Austria",3,0.956,0.963,43175,168809.122
"135","Bahrain",0,0.337,0.098,39530,36000.225
"136","Barbados",2,0.862,0.888,9577,498.277
"137","Belgium",3,0.975,0.982,39398,452380.263
"138","Bosnia and Herzegovina",2,0.651,0.754,9689,4432.231
"139","Bulgaria",2,0.75,0.859,15911,29095.562
"140","Comoros",2,0.675,0.852,1634,45.663
"141","Croatia",2,0.91,0.864,20130,11797.665
"142","Cuba",0,0.311,0.072,7379,2949.037
"143","Cyprus",3,0.941,0.927,25699,1887.404
"144","Czech Republic",3,0.953,0.944,27678,160340.005
"145","Denmark",3,0.963,0.986,44268,107494.364
"146","Equatorial Guinea",1,0.056,0.145,42940,12602.61
"147","Estonia",3,0.948,0.973,24710,15828.344
"148","Fiji",0,0,0.26,NA,1397.802
"149","Finland",3,0.967,0.973,37913,73393.766
"150","Greece",3,0.952,0.954,24807,35780.686
"151","Guyana",2,0.667,0.79,NA,1362.436
"152","Hong Kong",0,0.799,0.769,53707,NA
"153","Iceland",3,0.955,0.924,38668,4997.642
"154","Israel",3,0.898,0.768,30625,66583.2
"155","Kuwait",0,0.747,0.586,75584,98987.14
"156","Lithuania",3,0.907,0.945,23389,32190.022
"157","Luxembourg",3,0.953,0.942,56319,18449.758
"158","North Macedonia",1,0.557,0.584,12421,4264.847
"159","Malaysia",1,0.317,0.483,21152,228391.944
"160","Malta",2,0.889,0.844,24207,2536.846
"161","Mauritius",3,0.878,0.881,16984,2273.961
"162","Montenegro",1,0.408,0.719,16357,497.953
"163","New Zealand",3,0.968,0.961,32708,39581.214
"164","Norway",3,0.961,0.98,79894,153253.558
"165","Oman",0,0.737,0.222,41970,56428.928
"166","Paraguay",2,0.65,0.723,7811,9430.897
"167","Romania",2,0.691,0.889,18919,64502.725
"168","Sao Tome and Principe",2,0.836,0.895,3309,7.567
"169","Saudi Arabia",0,0,0.175,48106,349824.276
"170","Serbia",2,0.683,0.783,13347,NA
"171","Seychelles",2,0.506,0.642,22081,535.417
"172","Singapore",1,0.825,0.366,61755,412160.005
"173","Slovakia",2,0.949,0.914,23797,80535.487
"174","Slovenia",3,0.95,0.919,26062,33880.053
"175","Solomon Islands",2,0.484,0.813,NA,662.12
"176","Vanuatu",2,0.751,0.891,NA,249.519
"177","United Arab Emirates",0,0.424,0.25,71240,267254.668
"178","Hungary",2,0.925,0.828,21816,104620.516
"179","Zanzibar",1,0.253,0.597,NA,NA
